Application_mode,Course,Previous_qualification,Previous_qualification_grade,Mothers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,GDP,Status,Curricular_units_credited_avg,Curricular_units_enrolled_avg,Curricular_units_evaluations_avg,Curricular_units_approved_avg,Curricular_units_grade_avg,Curricular_units_without_evaluations_avg
1,9085,1,149.0,5,137.1,1,0,1,0,1,18,1.74,Graduate,0.0,5.0,6.0,4.5,12.625,0.0
1,9773,1,127.0,9,120.7,1,0,1,0,0,20,-4.06,Dropout,0.0,6.0,6.5,2.5,6.6,0.0
18,9238,1,137.0,5,137.4,1,0,1,0,0,18,1.74,Enrolled,0.0,6.0,12.0,1.5,11.5,0.0
17,9500,1,135.0,5,127.3,1,0,1,0,0,18,-4.06,Graduate,0.0,7.5,8.0,7.5,13.925625,0.0
1,9130,1,137.0,3,136.3,1,0,1,0,0,20,1.74,Graduate,0.0,5.0,8.0,4.0,12.375,1.5
1,9853,1,140.0,7,124.6,1,0,1,0,0,18,-0.92,Enrolled,0.0,7.0,7.5,6.0,12.583333333333332,0.0
1,171,1,122.0,9,120.3,0,0,1,0,1,21,2.02,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
18,9556,1,127.0,4,121.8,1,0,1,0,0,20,-1.7,Enrolled,0.0,7.5,11.5,7.5,11.43125,0.0
1,9500,1,142.0,1,125.5,1,0,1,0,0,18,-1.7,Graduate,0.0,8.0,12.0,7.0,12.857142857142858,0.0
1,9670,1,125.0,4,114.9,1,0,1,0,1,19,2.02,Graduate,0.0,6.0,7.5,6.0,12.830357142857142,0.0
1,9500,1,126.0,3,123.9,0,0,1,0,0,19,2.02,Graduate,0.0,7.5,8.5,6.5,13.70547619047619,0.0
1,9238,1,151.0,9,157.0,1,1,1,0,1,18,0.32,Enrolled,0.0,6.0,10.0,4.5,11.3,0.0
17,9238,1,115.0,7,116.4,1,0,1,0,0,21,-0.92,Graduate,0.0,6.0,9.0,6.0,12.330357142857142,0.0
1,9085,1,138.0,3,131.0,1,0,1,0,0,18,-3.12,Enrolled,0.0,5.0,8.0,4.5,12.833333333333332,1.0
1,9147,1,135.0,9,122.1,1,0,1,0,0,20,-0.92,Graduate,0.0,5.0,6.0,5.0,12.166666666666668,0.0
17,9500,1,127.0,1,118.8,1,0,1,1,0,19,-0.92,Enrolled,0.0,7.0,8.0,6.0,13.325,0.0
44,9003,39,150.0,4,150.0,0,0,1,1,0,21,-0.92,Enrolled,0.0,6.0,16.0,5.0,11.214285714285715,0.0
51,9070,1,125.0,125,130.0,1,0,1,1,0,20,3.51,Graduate,1.0,6.0,8.0,5.0,13.116666666666667,0.0
1,9147,1,143.0,4,138.8,0,0,0,1,0,18,3.51,Enrolled,0.0,5.0,8.5,2.5,12.416666666666668,0.0
18,8014,1,138.0,9,134.5,1,0,1,0,0,19,1.79,Graduate,0.0,6.0,7.0,6.0,13.520833333333332,0.0
1,9991,1,130.0,3,131.4,0,0,1,1,0,34,0.79,Graduate,0.0,5.0,7.5,5.0,12.914285714285715,0.0
39,33,1,130.0,9,102.5,0,1,0,1,0,37,3.51,Dropout,0.0,7.0,7.0,0.5,5.0,0.0
39,9119,10,133.1,0,128.8,1,0,1,1,0,43,0.32,Dropout,0.0,5.0,0.0,0.0,0.0,0.0
43,9147,1,140.0,6,122.9,0,0,1,0,0,55,-0.92,Dropout,0.0,5.0,9.0,1.5,11.0,1.0
39,9991,1,120.0,9,113.9,1,0,1,0,0,39,0.32,Graduate,0.0,5.0,6.5,5.0,11.3,0.0
44,9130,39,120.0,3,120.0,0,1,0,0,0,20,1.79,Dropout,1.5,6.0,12.0,3.0,11.833333333333332,0.0
1,9773,1,126.0,2,121.1,0,1,1,0,0,18,-1.7,Dropout,0.0,5.5,5.5,2.0,6.375,0.0
1,9147,1,133.0,2,120.4,1,0,1,0,0,22,3.51,Graduate,0.0,5.0,5.0,5.0,15.3,0.0
1,9500,1,103.0,2,100.6,1,0,1,0,0,22,2.02,Graduate,0.0,7.5,9.0,6.0,14.135428571428571,0.0
17,9773,1,120.0,5,121.4,0,0,0,0,0,20,1.79,Dropout,0.0,6.0,7.0,4.5,13.4,0.0
39,9991,1,133.1,9,109.7,0,0,1,0,0,29,-0.92,Dropout,0.0,5.0,0.0,0.0,0.0,0.0
17,9991,1,154.0,4,134.1,0,0,1,0,0,24,0.32,Enrolled,0.0,5.0,10.0,2.5,12.916666666666668,0.5
17,9238,1,130.0,9,127.6,1,0,1,0,0,18,2.02,Graduate,0.0,6.0,7.0,5.5,12.433333333333334,0.0
17,9500,1,132.0,7,132.4,1,0,1,0,1,22,2.02,Graduate,0.0,7.5,8.5,6.5,13.644047619047619,0.0
44,8014,39,130.0,9,133.4,0,0,1,0,1,21,1.79,Graduate,2.5,6.0,6.5,6.0,12.392857142857142,0.0
1,9238,1,139.0,9,126.1,0,0,1,0,1,19,-1.7,Graduate,0.0,6.0,7.0,5.5,12.583333333333334,0.0
39,9254,1,130.0,9,113.5,0,0,1,0,1,24,1.79,Graduate,0.0,6.0,6.0,6.0,13.916666666666666,0.0
1,9500,1,139.0,6,121.3,1,0,1,0,1,19,-3.12,Enrolled,0.0,8.0,10.0,6.0,11.833333333333334,0.0
1,9773,1,127.0,7,121.8,1,0,1,0,1,20,-3.12,Enrolled,0.0,6.0,11.5,3.5,12.5,0.0
1,9130,1,167.0,90,159.3,0,0,1,0,0,19,0.32,Graduate,0.0,5.0,6.0,5.0,15.257142857142856,0.0
39,9991,1,130.0,9,120.0,0,0,1,0,0,27,-3.12,Dropout,0.0,5.0,11.0,5.0,10.8,0.0
1,9500,1,130.0,5,129.1,1,0,1,0,0,18,-4.06,Graduate,0.0,7.5,9.5,7.5,13.319722222222222,0.0
7,9254,3,130.0,4,130.0,0,0,1,0,0,39,1.79,Dropout,0.0,6.0,8.0,0.0,0.0,0.0
39,9130,40,129.0,2,155.3,1,0,1,0,0,27,1.79,Dropout,2.5,8.5,11.0,7.5,12.95,0.0
17,9500,1,141.0,7,139.8,1,0,1,0,0,18,-3.12,Graduate,0.0,8.0,8.0,8.0,14.935,0.0
1,171,1,125.0,4,115.2,1,0,1,0,0,18,0.32,Enrolled,0.0,0.0,0.0,0.0,0.0,0.0
1,9500,1,125.0,9,114.9,0,0,1,0,0,18,-0.92,Graduate,0.0,7.5,10.0,6.5,12.677380952380952,0.0
44,9238,39,130.0,9,131.9,0,0,1,0,1,21,0.79,Graduate,2.5,6.0,7.0,6.0,12.0,0.0
17,171,1,133.0,4,126.0,1,0,1,1,1,19,1.74,Enrolled,0.0,0.0,0.0,0.0,0.0,0.0
17,9070,1,127.0,3,130.2,1,0,1,1,0,19,1.74,Enrolled,0.0,6.0,7.0,3.0,10.7,0.0
43,9070,1,116.0,3,120.9,0,0,1,1,0,24,-1.7,Enrolled,0.0,6.0,6.0,0.0,0.0,0.0
42,9500,19,133.1,5,126.0,1,0,1,1,0,29,0.79,Dropout,1.5,7.5,10.0,5.0,11.45,0.0
1,171,1,139.0,5,128.2,1,0,1,1,1,19,1.74,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
44,9003,39,130.0,9,130.0,1,0,1,1,0,23,3.51,Graduate,0.0,6.0,7.5,6.0,12.5,0.0
1,9147,1,125.0,7,120.1,0,1,1,1,0,19,-0.92,Dropout,0.0,5.0,9.0,4.5,10.975,1.5
39,9254,1,160.0,7,100.0,0,0,1,1,0,26,-1.7,Enrolled,0.0,6.0,7.5,5.5,11.4,0.0
17,9147,1,148.0,5,134.0,0,0,1,1,0,18,0.32,Enrolled,0.0,5.0,7.0,0.0,0.0,0.0
17,9500,1,150.0,8,130.8,0,0,1,1,0,24,0.79,Graduate,0.0,7.5,8.0,7.5,12.8625,0.0
1,171,1,141.0,5,135.8,1,0,1,1,0,19,-4.06,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
17,9254,1,118.0,5,111.7,1,0,1,1,0,18,1.79,Dropout,0.0,6.0,12.0,2.0,11.833333333333332,0.0
1,9773,1,142.0,9,132.9,1,0,1,1,0,18,1.74,Graduate,0.0,6.0,9.5,4.5,12.333333333333334,0.0
17,9147,1,120.0,4,115.5,1,1,1,1,0,18,1.74,Dropout,0.0,5.0,9.5,3.0,10.595238095238095,0.0
18,9254,1,106.0,7,106.0,1,0,1,1,1,21,-3.12,Dropout,0.0,6.0,9.5,2.5,10.75,0.0
17,9773,1,121.0,9,120.3,1,1,1,1,1,19,3.51,Graduate,0.0,6.0,6.0,6.0,13.5,0.0
17,9500,1,150.0,9,130.8,0,0,1,1,1,22,-0.92,Graduate,0.0,7.5,8.0,7.5,14.94920634920635,0.0
39,8014,1,120.0,9,117.0,0,0,1,1,0,33,1.74,Graduate,0.0,6.0,7.0,6.0,11.833333333333332,0.0
1,9853,1,114.0,9,110.2,1,0,1,1,0,20,1.74,Dropout,0.0,6.0,7.5,5.0,12.2,0.0
39,9991,2,140.0,2,155.7,1,0,1,1,0,35,1.74,Dropout,0.0,3.0,0.5,0.0,0.0,0.5
39,9003,4,160.0,4,180.4,0,1,1,1,0,24,1.79,Dropout,6.5,12.0,15.5,8.0,12.733333333333334,0.0
17,9254,1,120.0,4,125.5,0,0,1,1,0,18,-1.7,Enrolled,0.0,5.0,7.0,4.0,11.666666666666668,0.0
39,8014,1,130.0,9,110.0,1,0,1,0,0,33,-3.12,Graduate,0.0,6.0,9.0,5.5,11.0,0.0
42,9500,1,160.0,9,161.0,1,0,1,0,1,22,1.74,Graduate,0.0,8.0,8.0,7.0,13.08,0.0
39,9670,1,120.0,4,100.0,0,0,1,0,1,25,-3.12,Graduate,0.0,5.0,7.0,4.5,11.05,0.0
17,9070,1,124.0,4,117.6,1,0,1,1,0,20,0.32,Graduate,0.0,6.0,7.5,5.5,10.933333333333334,0.5
1,9147,1,143.0,9,128.7,1,0,1,1,0,23,2.02,Enrolled,0.0,5.0,5.5,4.5,13.9,0.0
43,9119,1,115.0,9,112.2,1,1,1,1,0,18,-4.06,Enrolled,0.0,5.0,9.0,1.0,5.0,0.0
39,9500,1,133.1,4,100.8,0,0,1,1,0,24,0.79,Dropout,0.0,7.0,12.5,0.0,0.0,0.0
17,9773,1,133.1,9,105.0,1,0,0,0,0,21,3.51,Graduate,0.0,6.0,6.0,6.0,13.75,0.0
15,9130,1,133.1,4,100.0,0,0,1,0,0,26,3.51,Dropout,0.0,6.0,6.5,1.0,6.0,0.5
39,9853,10,133.1,0,115.5,0,0,1,0,0,39,0.32,Dropout,0.0,6.0,13.0,1.5,6.333333333333333,0.5
39,8014,1,133.1,9,114.0,0,0,1,0,0,44,-1.7,Graduate,1.0,7.0,9.0,7.0,12.104166666666668,0.0
15,9119,1,130.0,9,137.0,1,0,1,1,0,19,0.79,Enrolled,0.0,5.0,10.0,4.0,13.625,0.0
1,9773,1,135.0,5,124.9,1,0,1,0,0,18,3.51,Graduate,0.0,6.0,6.0,6.0,13.5,0.0
1,9500,1,132.0,7,120.3,1,0,1,0,1,18,1.79,Graduate,0.0,7.5,8.0,7.5,14.11388888888889,0.0
1,9085,1,135.0,9,134.3,1,0,1,0,0,19,-1.7,Enrolled,0.0,5.0,7.0,5.0,14.0,1.0
1,9500,1,115.0,2,111.5,1,1,0,0,0,19,0.79,Dropout,0.0,7.0,8.5,2.0,5.98,0.0
53,9085,42,130.0,9,128.8,0,0,1,0,0,21,3.51,Dropout,5.5,9.5,13.0,6.5,13.1375,0.0
1,171,1,133.1,9,110.0,1,0,1,0,0,20,-0.92,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
39,8014,1,130.0,6,113.5,1,0,1,0,0,36,-3.12,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
39,9003,12,133.1,9,160.0,0,0,1,0,0,43,-4.06,Graduate,11.5,15.5,16.5,15.5,14.431174089068826,0.5
18,9853,1,123.0,9,117.4,1,0,1,0,0,19,2.02,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
51,9070,1,130.0,2,122.2,0,1,1,0,0,20,2.02,Graduate,4.5,10.5,11.5,10.5,12.636363636363637,0.0
1,9238,1,122.0,4,118.2,1,0,1,0,0,19,-0.92,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
1,9085,1,113.0,4,106.7,1,0,1,0,0,20,-4.06,Dropout,0.0,6.0,16.0,4.0,13.725,0.0
1,9500,1,111.0,4,108.2,1,0,1,0,0,20,1.79,Dropout,1.0,7.0,9.5,5.5,12.783333333333333,0.0
17,9853,1,133.1,9,107.0,1,0,1,0,0,20,-0.92,Enrolled,0.0,7.0,11.0,4.5,12.333333333333332,0.0
1,9238,1,142.0,6,136.1,1,0,1,0,0,18,0.79,Graduate,0.0,6.0,7.0,6.0,14.428571428571429,0.0
17,9147,1,123.0,4,115.3,1,0,1,0,1,18,3.51,Enrolled,0.0,5.0,10.0,3.0,12.0,0.0
1,9085,1,131.0,9,139.8,1,0,1,0,0,19,1.74,Graduate,0.0,5.0,5.5,5.0,13.100000000000001,0.0
1,9773,1,158.0,4,157.0,1,0,1,0,0,18,1.74,Graduate,0.0,6.0,6.5,6.0,12.619047619047619,0.0
17,9500,1,122.0,9,131.0,1,0,1,0,0,18,0.32,Dropout,0.0,7.0,7.0,6.0,12.516666666666666,1.0
43,9500,1,130.0,9,100.0,0,0,1,0,0,20,0.79,Enrolled,0.0,7.0,9.0,6.5,12.308333333333334,0.0
17,9238,1,154.0,9,140.4,1,0,1,0,1,20,0.32,Enrolled,0.0,6.0,12.5,3.0,10.375,0.0
17,9147,1,120.0,3,113.4,0,0,1,0,0,20,1.79,Enrolled,0.0,5.0,10.5,3.0,10.5,0.0
1,9085,1,140.0,9,137.0,0,0,1,0,0,18,-3.12,Graduate,0.0,5.0,9.0,5.0,12.271428571428572,1.0
1,9147,1,127.0,4,121.8,0,0,1,0,0,18,2.02,Graduate,0.0,5.0,5.0,5.0,13.3,0.0
17,9254,1,133.1,4,131.0,1,0,1,0,0,21,-3.12,Dropout,0.0,6.0,12.0,2.5,11.0,0.0
1,9147,1,120.0,9,118.6,1,0,1,0,0,19,-0.92,Graduate,0.0,5.0,8.5,4.5,11.025,1.0
1,171,1,137.0,2,122.3,0,0,1,0,0,19,1.74,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
1,9670,1,131.0,9,127.9,0,0,1,0,1,19,-3.12,Graduate,0.0,5.0,5.0,5.0,13.5,0.0
1,9085,1,130.0,4,121.3,1,0,1,0,0,19,-4.06,Graduate,0.0,6.0,14.0,6.0,13.183333333333334,0.0
17,9556,1,122.0,4,117.1,1,0,1,0,0,19,0.79,Dropout,0.0,7.0,6.0,2.5,6.05,0.0
44,9085,39,160.0,9,160.0,1,0,1,0,0,20,1.79,Graduate,1.0,6.0,12.0,5.5,13.972222222222223,0.0
1,9853,1,146.0,9,145.3,1,0,1,0,1,18,-3.12,Enrolled,0.0,6.0,7.5,5.0,13.100000000000001,0.0
17,9238,1,131.0,5,122.6,1,0,1,0,0,18,1.79,Graduate,0.0,6.0,6.5,6.0,13.333333333333332,0.0
17,9500,1,132.0,8,128.0,1,0,1,0,0,19,1.79,Graduate,0.0,7.5,8.0,7.5,14.239126984126983,0.0
1,9500,1,138.0,5,124.9,1,0,1,0,1,18,0.79,Dropout,0.0,7.5,9.0,7.0,13.490178571428572,0.0
17,9070,1,130.0,9,123.7,1,0,1,0,0,18,0.32,Graduate,0.0,6.0,6.0,6.0,12.666666666666668,0.0
1,9147,1,126.0,4,120.1,1,0,1,0,0,19,3.51,Graduate,0.0,5.0,6.0,5.0,13.5,0.0
17,9500,1,148.0,3,131.7,1,0,1,0,0,19,0.79,Dropout,0.0,7.0,7.5,2.5,7.0,0.0
43,9238,1,130.0,9,133.2,0,0,1,0,0,20,0.32,Graduate,3.5,8.0,11.5,8.0,11.69047619047619,0.0
1,9670,1,117.0,3,109.3,0,1,0,0,1,19,1.79,Dropout,0.0,6.0,8.0,4.5,12.25,0.0
17,9670,1,120.0,5,113.0,1,0,1,0,0,20,0.32,Graduate,0.0,5.0,6.0,4.0,11.85,0.0
1,9773,1,153.0,141,157.9,0,1,1,0,1,18,3.51,Graduate,0.0,6.0,6.0,6.0,14.833333333333334,0.0
1,9500,1,117.0,4,112.1,0,0,1,0,1,20,2.02,Enrolled,0.0,7.5,9.0,6.0,13.04042857142857,0.0
18,9500,1,178.0,4,174.7,0,0,1,0,0,18,0.79,Graduate,0.0,7.5,8.0,7.5,17.35625,0.0
1,9500,1,129.0,9,128.8,1,0,1,0,0,19,0.32,Graduate,0.0,7.0,7.0,6.0,12.666666666666666,0.0
1,9773,1,116.0,4,110.1,1,0,1,0,1,19,1.79,Graduate,0.0,6.0,9.0,5.5,12.333333333333332,0.0
51,9147,1,99.0,3,99.7,1,1,0,0,0,22,3.51,Enrolled,0.0,5.0,7.5,0.0,0.0,0.0
1,9238,1,135.0,9,121.0,1,0,1,0,1,19,1.79,Graduate,0.0,6.0,6.5,6.0,11.416666666666668,0.0
1,9500,1,141.0,9,131.7,1,0,1,0,1,19,-4.06,Graduate,0.0,7.5,10.5,7.5,12.968125,0.0
17,9853,1,132.0,5,119.1,1,0,1,0,1,19,-3.12,Graduate,0.0,6.0,9.5,5.0,11.4,0.0
1,9254,1,132.0,9,124.7,1,0,1,0,0,19,0.32,Dropout,0.0,5.0,10.0,0.0,0.0,0.0
17,9254,1,113.0,9,117.2,1,0,1,0,0,20,0.32,Dropout,0.0,6.0,10.0,4.0,11.433333333333334,0.0
1,9147,1,134.0,2,128.8,0,0,1,0,0,18,0.79,Graduate,0.0,5.0,9.5,5.0,13.770833333333332,0.0
1,9500,1,136.0,9,131.5,0,0,1,0,1,20,2.02,Graduate,0.0,7.5,8.5,6.5,14.020952380952384,0.0
1,171,1,136.0,2,121.7,1,0,1,0,0,18,-3.12,Enrolled,0.0,0.0,0.0,0.0,0.0,0.0
1,9085,1,129.0,4,123.4,0,0,1,0,0,19,0.32,Graduate,0.0,5.0,6.0,5.0,12.9,0.0
17,9853,1,138.0,7,124.7,1,0,1,0,0,18,-3.12,Enrolled,0.0,6.0,10.5,4.0,11.583333333333334,0.0
1,9853,1,137.0,9,132.8,1,0,1,0,0,18,0.32,Graduate,0.0,6.0,7.5,5.5,12.566666666666666,0.0
43,9853,1,115.0,2,108.7,1,0,1,0,0,21,-3.12,Dropout,0.0,6.0,11.0,3.0,11.333333333333332,0.0
1,9853,1,129.0,6,138.1,0,0,1,0,0,19,0.32,Dropout,0.0,6.0,9.0,5.0,11.75,0.0
1,9147,1,131.0,9,126.5,0,0,1,0,1,18,1.79,Graduate,0.0,5.0,5.0,5.0,11.2,0.0
17,9238,1,133.0,7,127.4,1,0,1,0,1,18,-1.7,Graduate,0.0,6.0,7.5,6.0,12.053571428571429,0.0
1,9238,1,125.0,9,123.6,1,0,1,0,0,20,-3.12,Graduate,0.0,6.0,9.5,5.0,11.416666666666668,0.0
39,8014,1,120.0,6,122.0,0,0,1,0,1,24,2.02,Graduate,0.0,6.0,10.0,5.0,11.8,0.0
1,9670,1,128.0,4,118.2,0,0,1,0,0,19,1.74,Dropout,0.0,6.0,7.5,6.0,13.083333333333332,0.0
1,9500,1,127.0,9,123.9,1,0,1,0,1,18,-4.06,Graduate,0.0,7.5,10.5,7.0,12.808333333333334,0.0
1,9500,1,134.0,9,125.8,1,0,1,0,0,18,-4.06,Graduate,0.0,7.5,8.0,7.5,15.136875,0.0
17,9853,1,132.0,4,123.3,1,0,1,0,0,21,1.74,Dropout,0.0,6.0,11.5,3.5,11.25,0.0
17,9670,1,124.0,5,124.4,0,0,1,0,0,19,0.32,Graduate,0.0,5.0,5.0,5.0,14.2,0.0
17,9773,1,133.1,7,126.0,0,0,1,0,1,19,-4.06,Graduate,0.0,6.0,6.5,6.0,12.75,0.0
39,9003,1,170.0,6,170.0,0,1,1,0,0,47,3.51,Enrolled,0.0,3.5,0.5,0.0,0.0,0.0
17,9238,1,125.0,7,121.5,0,0,1,0,0,19,0.79,Graduate,0.0,6.0,11.0,4.5,11.333333333333332,0.0
39,9500,3,130.0,1,130.0,0,0,1,0,0,29,-1.7,Graduate,1.0,8.0,8.0,7.0,14.257142857142856,0.0
43,9238,1,125.0,4,117.0,1,0,1,0,0,21,-0.92,Dropout,0.0,6.0,12.5,2.5,11.666666666666668,0.0
39,9085,1,130.0,9,130.0,1,0,1,0,0,28,-1.7,Enrolled,0.0,5.0,12.0,4.0,10.875,0.5
17,9556,1,133.1,3,108.0,0,0,1,0,0,20,-4.06,Graduate,0.0,7.5,8.0,7.5,13.009821428571428,0.0
17,9500,1,131.0,4,132.3,1,0,1,0,0,19,0.32,Graduate,0.0,7.0,7.0,6.0,11.683333333333332,0.0
42,8014,1,150.0,4,148.0,0,0,1,0,0,26,-3.12,Graduate,0.0,6.0,9.0,4.0,11.833333333333332,0.0
17,9254,1,125.0,9,122.6,1,1,0,0,0,20,2.02,Dropout,0.0,6.0,7.0,5.0,12.458333333333332,0.0
1,9670,1,131.0,9,123.0,1,0,1,0,1,18,0.32,Enrolled,0.0,5.0,6.0,3.5,12.583333333333332,0.0
39,9853,1,130.0,9,102.5,0,0,1,0,0,27,0.32,Graduate,0.0,6.0,9.5,5.0,12.6,0.0
1,9500,1,123.0,90,113.3,1,0,1,0,0,20,0.32,Dropout,0.0,7.0,8.0,4.0,11.95,0.0
1,9853,1,141.0,9,133.0,1,0,1,0,0,18,-3.12,Dropout,0.0,6.0,10.0,5.0,11.4,0.0
7,9500,3,140.0,9,140.0,0,0,1,0,0,33,-0.92,Dropout,2.5,7.5,9.0,6.0,14.466666666666667,0.0
43,9853,1,140.0,3,128.3,1,0,1,0,0,35,1.79,Graduate,16.0,20.0,20.0,20.0,12.704260651629074,0.0
44,9991,39,140.0,9,140.0,0,0,1,0,1,26,-3.12,Enrolled,2.0,6.0,7.0,6.0,12.916666666666666,0.5
39,9773,19,133.1,3,104.0,0,1,0,0,0,27,2.02,Dropout,0.0,6.0,6.0,2.5,6.0,0.0
18,9070,1,131.0,5,122.3,1,0,0,0,0,19,-4.06,Dropout,0.0,6.0,6.0,3.0,6.083333333333333,0.0
17,9254,1,143.0,4,135.0,0,0,1,0,0,20,2.02,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
18,9147,1,132.0,5,119.1,1,1,0,0,0,20,1.74,Dropout,0.0,5.0,9.0,3.0,10.285714285714285,0.0
43,9238,1,143.0,5,126.6,0,1,0,0,0,21,-3.12,Enrolled,2.5,8.0,15.0,6.0,10.75,0.0
17,9500,1,141.0,9,129.0,1,0,1,0,1,18,0.32,Graduate,0.0,7.0,7.0,6.0,13.05,0.0
39,9085,1,133.1,9,162.3,1,0,1,0,0,24,3.51,Dropout,0.0,6.0,8.0,1.0,5.5,0.0
17,9070,1,148.0,4,163.4,1,0,1,0,0,20,-0.92,Graduate,0.0,6.0,6.5,6.0,11.75,0.0
1,9254,1,125.0,9,121.5,0,0,1,0,1,21,0.79,Graduate,0.0,6.0,6.5,6.0,12.25,0.0
1,8014,1,120.0,7,122.8,0,0,1,0,0,23,-3.12,Enrolled,0.0,5.5,12.5,1.5,10.0,0.0
39,9147,1,140.0,4,118.0,1,0,1,0,0,24,0.32,Dropout,0.0,5.0,5.0,0.0,0.0,0.0
51,9853,1,139.0,4,134.0,0,0,1,0,0,21,1.79,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
1,9500,1,142.0,9,129.8,1,0,1,0,0,18,-1.7,Graduate,0.0,8.0,8.0,7.0,12.242857142857144,0.0
39,9991,40,130.0,3,152.0,1,0,1,0,0,27,3.51,Dropout,0.0,5.0,0.0,0.0,0.0,0.0
18,9500,1,126.0,5,122.8,1,0,1,0,0,18,-3.12,Graduate,0.0,8.0,8.0,8.0,12.93375,0.0
7,9119,3,150.0,2,150.0,0,0,1,0,0,35,0.79,Dropout,0.0,5.0,0.0,0.0,0.0,0.0
1,9853,1,130.0,3,131.8,0,0,1,0,0,18,2.02,Graduate,0.0,7.0,8.5,7.0,13.5,0.0
39,9500,1,120.0,175,105.9,0,0,1,0,0,35,2.02,Enrolled,0.0,3.0,3.5,3.0,11.575000000000001,0.0
1,9085,1,138.0,4,132.1,1,0,1,0,0,19,1.74,Graduate,0.0,5.0,11.0,4.0,14.041666666666668,1.0
1,9238,1,127.0,4,127.4,1,0,1,0,0,20,0.32,Graduate,0.0,6.0,7.0,6.0,11.25,0.0
1,9500,1,140.0,7,129.5,1,0,1,0,0,18,1.74,Graduate,0.0,8.0,8.0,7.0,12.324285714285711,0.0
44,9238,39,130.0,5,126.7,0,1,1,0,0,21,0.79,Graduate,2.5,6.0,6.5,6.0,11.94047619047619,0.0
17,9238,1,128.0,9,116.5,0,0,1,0,1,18,-0.92,Graduate,0.0,6.0,11.0,4.5,11.196428571428571,0.0
1,9238,1,132.0,0,119.1,1,0,1,0,0,18,0.32,Graduate,0.0,6.0,9.0,4.0,10.875,0.0
1,9500,1,149.0,9,126.5,1,0,1,0,0,18,-1.7,Graduate,0.0,8.0,8.0,7.0,12.914285714285713,0.0
1,9773,1,155.0,1,149.8,1,0,1,0,1,18,-0.92,Graduate,0.0,6.0,6.0,6.0,14.0,0.0
1,9085,1,120.0,8,115.1,1,0,1,0,0,19,0.79,Graduate,0.0,6.0,8.5,5.5,13.62857142857143,0.0
39,9254,19,133.1,2,124.5,0,0,1,0,1,36,-0.92,Dropout,0.0,6.0,6.5,5.5,13.257142857142856,0.0
1,9500,1,131.0,7,128.3,1,0,1,0,1,18,-1.7,Graduate,0.0,8.0,8.0,7.0,12.642857142857142,0.0
